https://hikkoshizamurai.jp/useful/trouble/no-pets/,
2022年01月24日(月)22時33分,
55,
21773,
1391,674,
886,291,
851,296,
837,311,
849,319,
806,351,
777,350,
709,329,
590,317,
497,313,
456,306,
412,275,
378,227,
331,207,
308,189,
258,182,
214,180,
192,159,
166,162,
170,172,
146,170,
130,182,
92,174,
96,172,
95,152,
246,184,
322,213,
412,219,
449,216,
423,171,
443,172,
464,171,
503,176,
506,232,
459,239,
446,252,
390,222,
369,216,
342,182,
307,137,
301,147,
293,136,
285,137,
307,150,
288,188,
276,219,
281,247,
259,255,
269,278,
277,291,
299,305,
327,273,
391,259,
402,249,
389,229,
403,234,
486,237,
581,257,
652,254,
704,226,
761,237,
812,264,
863,247,
916,231,
950,244,
989,233,
966,224,
964,235,
945,242,
973,241,
989,246,
978,237,
899,249,
870,272,
779,281,
701,300,
647,311,
593,348,
528,389,
471,511,
451,595,
386,660,
364,686,
391,673,
379,660,
412,634,
409,622,
418,622,
399,622,
395,660,
367,892,
331,981,
326,1028,
312,1131,
366,1133,
403,1135,
400,1138,
401,1112,
366,1104,
337,1061,
308,1061,
267,1032,
302,965,
338,915,
324,914,
307,912,
324,923,
322,932,
317,952,
292,935,
300,921,
277,931,
282,942,
261,961,
258,941,
272,938,
268,951,
277,958,
297,969,
299,951,
315,916,
320,948,
347,994,
420,981,
479,1149,
535,1415,
522,1396,
526,1371,
521,1371,
457,1356,
399,1337,
333,1575,
331,1668,
312,1768,
309,1741,
346,1726,
368,1894,
345,1887,
291,1897,
268,1874,
278,1848,
285,1798,
262,1775,
264,1727,
219,1675,
181,1627,
181,1599,
194,1539,
212,1489,
248,1461,
222,1454,
225,1461,
198,1443,
195,1455,
213,1468,
259,1481,
309,1503,
373,1501,
479,1498,
539,1497,
582,1481,
558,1489,
579,1516,
592,1493,
617,1517,
685,1529,
700,1507,
743,1520,
781,1536,
797,1574,
828,1585,
869,1576,
888,1546,
853,1521,
837,1530,
801,1649,
711,1694,
684,1773,
607,1842,
511,1941,
425,2054,
365,2060,
358,2079,
323,2115,
228,2105,
291,2154,
340,2165,
345,2178,
327,2151,
322,2161,
291,2134,
276,2125,
257,2109,
259,2110,
260,2107,
274,2086,
301,2078,
343,2090,
333,2038,
316,2005,
295,1920,
166,1788,
141,1700,
99,1637,
194,1793,
EOF
